"fc";"pval.fc.fdr"
"SASS6";1.75892534597568;1.53899564998129e-14
"BUB1B";4.38172378184511;5.93837480009228e-16
"FCHO2";-1.25998150458422;2.6433620197634e-16
"CCNB2";4.17491037404238;7.9539834770893e-17
"GAREM2";2.66847361873901;4.31870320021371e-11
"COLEC12";-2.23513831300479;5.58792619608057e-20
"HK2";1.20825091055991;7.33162732377288e-06
"WDR4";1.24898750665071;1.47837984181568e-10
"DVL3";1.82297385125001;5.86710052174263e-10
"RACGAP1";2.45999557611659;2.56260239212002e-18
"AK4";2.96416399661272;5.78896877128805e-11
"NLRP3";-1.77804138249379;6.75203216666039e-08
"FZD5";-1.43350226707812;1.31903145992738e-09
"PRICKLE2";-1.45735493697073;7.22904862500156e-14
"TOPBP1";1.92500071611271;7.38717452039313e-10
"FYCO1";-1.26660466224786;1.04771785522049e-15
"RNF168";1.8484483063972;5.30547873203089e-08
"CDC25A";3.27914127147809;6.27957394874026e-18
"HMGB2";1.49704460689695;1.18673316957997e-08
"MAD2L1";3.4934284845715;3.74704304376543e-14
"TLR3";-1.69114215243836;1.02238576825121e-15
"SFXN1";1.95503014301314;4.44170648347941e-11
"PTTG1";3.1108833790555;5.41598756534408e-11
"DLC1";-3.46461444699632;6.18714286313126e-19
"ZNF367";2.4169008303495;4.04055403056126e-11
"OTUD1";-1.47155468353327;3.72291592318404e-13
"SLC16A9";2.51356302561007;4.17578158816933e-06
"E2F7";4.61525708678402;5.01559489761116e-16
"RAB8B";-1.20559550844191;2.73839521697625e-18
"NEMP1";1.60932516892935;8.62637531836225e-11
"RRM1";1.86061185818356;1.60982468540889e-13
"CHAF1A";2.22495371687553;5.47201063793512e-14
"ZNF597";-1.23298766516315;2.19042292883564e-13
"FADD";1.26037418458735;0.00279470344632387
"DDIT4";1.49885337331809;4.74779860390021e-05
"COL3A1";2.18916528853558;2.98856440955066e-06
"AXIN2";-1.40479038659828;2.47781980741686e-10
"ZEB2";-1.78227020220046;1.32899854304946e-19
"FOS";-2.14224215761507;3.51751894088438e-08
"NPAS2";1.53706329478573;1.20426730925506e-08
"CDCA4";2.61014595278844;6.9772516502085e-16
"PRKCE";-2.18541230897002;7.06495741434315e-15
"SHCBP1";2.73624056024126;1.942914519347e-13
"LRRC8D";1.37541573880957;4.11497925650815e-07
"GATM";1.20094090861286;0.00360786568186917
"BCL2";1.21093548941839;0.0237936519712448
"CTPS1";1.4833587642785;9.88975781676888e-09
"RRM2";3.91859803763601;7.06495741434315e-15
"ZNF217";1.21149187879554;3.41028849024776e-10
"LCLAT1";1.35511472983553;9.25947871175448e-15
"HEG1";-1.48018302562936;1.05588497481857e-11
"CBX2";3.27707251404887;3.48167123023808e-09
"UGT8";2.63813445268312;7.94082050362282e-08
"MARCKSL1";1.7226175956787;3.51317906408749e-05
"PSMD2";1.79677983664929;2.21181999781983e-13
"CKAP5";1.51024906322864;1.22278289239875e-08
"CCNE2";2.38118330342735;8.6882955252717e-06
"ATAD5";2.32151860706621;2.30525389515867e-15
"B3GNT5";1.53720833782652;0.00014289273393299
"TYMS";2.20358158190434;3.00965907737812e-11
"PUS1";1.21243341821714;5.97457023819111e-10
"TBL1XR1";1.58359753606616;2.41618879650325e-11
"HASPIN";2.87435994395273;1.64507358682817e-15
"AURKB";4.30594913314074;6.28346923278539e-16
"TMEM45A";2.26009647003699;0.000521473928321427
"KPNA2";2.57206421593381;4.38286946781615e-17
"CADM1";-2.38086393555816;1.05261521113984e-21
"SLC25A10";2.05923175065704;1.67155076338787e-10
"NR2C2AP";1.25450475589269;6.39401544299218e-10
"IRAK1";1.37277965004472;1.11970489195217e-10
"CSF1";-1.62121622252717;5.18291272387729e-05
"SOCS3";-1.82729501837432;1.67492057885777e-07
"SDR42E1";1.22807302309238;2.41656465473846e-09
"AHNAK2";3.16042231595015;2.4714644918586e-07
"IKZF1";-1.24956749706243;3.09494608021182e-08
"BICD2";1.39357136895342;1.17755184695092e-07
"TET3";1.5181023215924;1.0685188022652e-13
"COL4A5";1.81149698373824;1.46234302281891e-06
"FAM83G";1.62630882698915;5.41381277989333e-06
"TUBB";1.34303674180612;1.62784245820125e-13
"ADA";1.75177730071484;5.54564201606854e-07
"ADARB1";-1.70935260481302;4.07681462140277e-14
"ERO1A";2.12002393879498;6.60059110021704e-09
"SOWAHC";1.22286905732327;7.41845443737449e-07
"RYR2";-1.21908028379111;5.06288375502499e-06
"SCAMP5";1.29231556704541;1.08903243982806e-07
"MAP3K3";-1.2923300419317;2.77879086224733e-19
"COL5A2";2.36188605422616;7.40978670690123e-07
"JPT2";1.32991548760034;1.63277661894971e-12
"SERPINB5";7.2009831023264;8.72716962598541e-10
"TRIM59";2.60037213973446;2.09083135917822e-11
"DNAJC9";1.41399235557806;1.18363777355765e-15
"ALG3";2.06541877963176;5.14358546785759e-11
"PLEKHO2";-1.26367703128769;1.56136694251168e-13
"UHRF1";3.97044255757449;1.26194207103416e-15
"MYO19";1.94418872796944;2.33980366296303e-17
